1 0.091996
2 0.183544
3 0.274607
4 0.365144
5 0.455110
6 0.544454
7 0.633122
8 0.721053
9 0.808178
10 0.894424
11 0.979707
12 1.063937
13 1.147013
14 1.228825
15 1.309249
16 1.388155
17 1.465398
18 1.540821
19 1.614256
20 1.685526
21 1.754442
22 1.820811
23 1.884435
24 1.945116
25 2.002664
26 2.056901
27 2.107669
28 2.154838
29 2.198315
30 2.238049
31 2.274040
32 2.306340
33 2.335053
34 2.360336
35 2.382389
36 2.401450
37 2.417783
38 2.431666
39 2.443382
40 2.453205
41 2.461398
42 2.468199
43 2.473826
44 2.478468
45 2.482292
46 2.485436
47 2.488021
48 2.490145
49 2.491889
50 2.493324
51 2.494502
52 2.495472
53 2.496269
54 2.496926
55 2.497466
56 2.497911
57 2.498278
58 2.498580
59 2.498829
60 2.499034
61 2.499204
62 2.499343
63 2.499458
64 2.499553
65 2.499631
66 2.499696
67 2.499749
68 2.499793
69 2.499829
70 2.499859
71 2.499884
72 2.499904
73 2.499921
74 2.499935
75 2.499946
76 2.499956
77 2.499963
78 2.499970
79 2.499975
80 2.499979
