1 0.870000
2 0.896541
3 0.924686
4 0.954575
5 0.986361
6 1.020213
7 1.056320
8 1.094892
9 1.136160
10 1.180382
11 1.227842
12 1.278859
13 1.333782
14 1.393002
15 1.456946
16 1.526087
17 1.600945
18 1.682087
19 1.770129
20 1.865735
21 1.969617
22 2.082527
23 2.205250
24 2.338594
25 2.483370
26 2.640375
27 2.810362
28 2.994017
29 3.191924
30 3.404531
31 3.632124
32 3.874798
33 4.132441
34 4.404731
35 4.691138
36 4.990944
37 5.303277
38 5.627145
39 5.961484
40 6.305199
41 6.657203
42 7.016455
43 7.381983
44 7.752899
45 8.128410
46 8.507817
47 8.890517
48 9.275990
49 9.663794
50 10.053555
51 10.444959
52 10.837742
53 11.231682
54 11.626593
55 12.022319
56 12.418729
57 12.815714
58 13.213183
59 13.611057
60 14.009272
61 14.407774
62 14.806517
63 15.205462
64 15.604576
65 16.003834
66 16.403211
67 16.802689
68 17.202251
69 17.601884
70 18.001577
71 18.401320
72 18.801104
73 19.200923
74 19.600772
75 20.000646
76 20.400540
77 20.800451
78 21.200377
79 21.600315
80 22.000263
