1665.908613,1841.090941
1783.113797,1960.638783
1803.450027,1991.747371
1690.606913,1867.738459
1829.849136,2022.439551
1716.884745,1893.082055
1751.121134,1935.335359
1787.587727,1969.001409
1783.917097,1970.458409
1692.510506,1844.232093
1737.925881,1919.508282
1729.519213,1906.085874
1756.312500,1939.728807
1651.203041,1812.618481
1746.557533,1912.279103
1714.364876,1893.324772
1738.229487,1919.486921
1716.680447,1897.075138
1735.073995,1902.866508
1783.783978,1963.524842
1717.880147,1897.633935
1795.935143,1984.421751
1744.305163,1926.511535
1658.930586,1833.057325
1773.327420,1941.033471
1725.609521,1904.082495
1747.674953,1930.215308
1704.836898,1883.661618
1732.657129,1907.814416
1720.271531,1900.454361
1762.954625,1903.025934
1745.275572,1926.512178
1770.594891,1955.521833
1705.497752,1882.499363
1718.295923,1898.899215
1740.413184,1921.218075
1751.231916,1934.376867
1723.905343,1896.874775
1841.889070,2029.549793
1798.310078,1986.910601
1718.419367,1897.844265
1748.636619,1932.585898
1724.210230,1904.819680
1699.792303,1873.373700
1748.002905,1931.868124
1714.462560,1869.990093
1795.352182,1983.403540
1748.828828,1932.176343
1725.852544,1906.895721
1753.907456,1937.857895
1750.682593,1930.556906
1757.756969,1941.743020
1721.359765,1880.782962
1741.244040,1924.239797
1745.137154,1928.406756
1734.241611,1916.300516
1735.732045,1913.494566
1795.569744,1983.322134
1769.929878,1955.782142
1748.239407,1925.587593
1769.423430,1953.508179
1668.253939,1843.844906
1722.809803,1903.896189
1765.426758,1948.970519
1718.436379,1899.251792
1748.429828,1931.198435
1729.608650,1910.664635
1756.459872,1941.079676
1668.726595,1830.115221
1708.671329,1887.431848
1741.292674,1922.170862
1695.304991,1871.382449
1732.097653,1905.448520
1745.771385,1928.858098
1787.341495,1974.272627
1720.004918,1900.338993
1810.918825,1999.453901
1657.307090,1831.263864
1745.339005,1928.058493
1673.506639,1847.093953
1822.127838,2011.360615
1770.975902,1957.141213
1742.199528,1883.380921
1712.270560,1891.240710
1707.791077,1887.476572
1763.589173,1915.845766
1747.011414,1928.255252
1682.750701,1842.196873
1842.216182,2034.965391
1802.621077,1991.074969
1760.036705,1938.660351
1830.933134,2020.825413
1703.790035,1881.734505
1726.310029,1902.572329
1772.437926,1957.289753
1667.380463,1838.006335
1724.333528,1903.958651
1710.707579,1889.068308
1762.595016,1945.553864
1728.784750,1908.891553
